caseType,queryId,query,shelf,anchorBookId,anchorTitle,latencyMs,precisionAtK,recallAtK,ndcgAt10,error
overview-shelf,q021,爱情小说 推荐,popular,,,,0.1,0.08333333333333333,0.22009176629808017,
overview-shelf,q021,爱情小说 推荐,preferences,,,,0.1,0.08333333333333333,0.22009176629808017,
overview-shelf,q022,经典浪漫主义小说,popular,,,,0.1,0.08333333333333333,0.22009176629808017,
overview-shelf,q022,经典浪漫主义小说,preferences,,,,0.1,0.08333333333333333,0.22009176629808017,
overview-shelf,q023,科幻小说 入门,popular,,,,0.0,0.0,-0.0,
overview-shelf,q023,科幻小说 入门,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q024,反乌托邦 科技垄断 小说,popular,,,,0.0,0.0,-0.0,
overview-shelf,q024,反乌托邦 科技垄断 小说,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q025,机器人 人工智能 科幻,popular,,,,0.0,0.0,-0.0,
overview-shelf,q025,机器人 人工智能 科幻,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q026,外星人入侵 经典科幻,popular,,,,0.0,0.0,-0.0,
overview-shelf,q026,外星人入侵 经典科幻,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q027,隐身 科学伦理 小说,popular,,,,0.0,0.0,-0.0,
overview-shelf,q027,隐身 科学伦理 小说,preferences,,,,0.3,0.25,0.23690530871965634,
overview-shelf,q028,末世 生存 家庭 科幻,popular,,,,0.0,0.0,-0.0,
overview-shelf,q028,末世 生存 家庭 科幻,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q029,心理悬疑 恐怖小说,popular,,,,0.0,0.0,-0.0,
overview-shelf,q029,心理悬疑 恐怖小说,preferences,,,,0.1,0.08333333333333333,0.07839826897867533,
overview-shelf,q030,女巫 宗教 恐怖,popular,,,,0.0,0.0,-0.0,
overview-shelf,q030,女巫 宗教 恐怖,preferences,,,,0.1,0.08333333333333333,0.07839826897867533,
overview-shelf,q031,self help personal growth beginner,popular,,,,0.0,0.0,-0.0,
overview-shelf,q031,self help personal growth beginner,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q032,habit productivity psychology,popular,,,,0.0,0.0,-0.0,
overview-shelf,q032,habit productivity psychology,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q033,women empowerment self help groups,popular,,,,0.0,0.0,-0.0,
overview-shelf,q033,women empowerment self help groups,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q034,ego development psychology book,popular,,,,0.0,0.0,-0.0,
overview-shelf,q034,ego development psychology book,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q035,Greek tragedy literary analysis,popular,,,,0.0,0.0,-0.0,
overview-shelf,q035,Greek tragedy literary analysis,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q036,sports biography inspirational,popular,,,,0.0,0.0,-0.0,
overview-shelf,q036,sports biography inspirational,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q037,Japanese history social change,popular,,,,0.0,0.0,-0.0,
overview-shelf,q037,Japanese history social change,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q038,economic behavior market anomalies,popular,,,,0.0,0.0,-0.0,
overview-shelf,q038,economic behavior market anomalies,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q039,mathematics history beginner,popular,,,,0.0,0.0,-0.0,
overview-shelf,q039,mathematics history beginner,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q040,prime numbers Riemann hypothesis,popular,,,,0.1,0.08333333333333333,0.06943122193677727,
overview-shelf,q040,prime numbers Riemann hypothesis,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q041,我想找一本适合入门的心理学和习惯养成的书,popular,,,,0.0,0.0,-0.0,
overview-shelf,q041,我想找一本适合入门的心理学和习惯养成的书,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q042,有没有关于科技公司控制社会的反乌托邦小说,popular,,,,0.0,0.0,-0.0,
overview-shelf,q042,有没有关于科技公司控制社会的反乌托邦小说,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q043,想看简奥斯汀那种有婚恋和社会讽刺的作品,popular,,,,0.1,0.08333333333333333,0.22009176629808017,
overview-shelf,q043,想看简奥斯汀那种有婚恋和社会讽刺的作品,preferences,,,,0.1,0.08333333333333333,0.22009176629808017,
overview-shelf,q044,找一本外星文明入侵地球的经典科幻,popular,,,,0.0,0.0,-0.0,
overview-shelf,q044,找一本外星文明入侵地球的经典科幻,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q045,想读关于自动化取代人类工作的小说,popular,,,,0.0,0.0,-0.0,
overview-shelf,q045,想读关于自动化取代人类工作的小说,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q046,有没有温情一点的爱情故事,popular,,,,0.0,0.0,-0.0,
overview-shelf,q046,有没有温情一点的爱情故事,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q047,找几本适合晚上读的恐怖悬疑小说,popular,,,,0.1,0.08333333333333333,0.09478836436955078,
overview-shelf,q047,找几本适合晚上读的恐怖悬疑小说,preferences,,,,0.2,0.16666666666666666,0.21726071285222986,
overview-shelf,q048,我想看和星球大战有关的太空冒险,popular,,,,0.0,0.0,-0.0,
overview-shelf,q048,我想看和星球大战有关的太空冒险,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q049,有没有 Doctor Who 系列的科幻冒险,popular,,,,0.0,0.0,-0.0,
overview-shelf,q049,有没有 Doctor Who 系列的科幻冒险,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q050,想读女性成长和社会议题相关的书,popular,,,,0.1,0.08333333333333333,0.09478836436955078,
overview-shelf,q050,想读女性成长和社会议题相关的书,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q051,romantic classic by Jane Austen,popular,,,,0.1,0.08333333333333333,0.22009176629808017,
overview-shelf,q051,romantic classic by Jane Austen,preferences,,,,0.1,0.08333333333333333,0.22009176629808017,
overview-shelf,q052,Science Fiction H. G. Wells alien,popular,,,,0.0,0.0,-0.0,
overview-shelf,q052,Science Fiction H. G. Wells alien,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q053,Science Fiction H. G. Wells invisible,popular,,,,0.0,0.0,-0.0,
overview-shelf,q053,Science Fiction H. G. Wells invisible,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q054,Horror feminist witch novel,popular,,,,0.0,0.0,-0.0,
overview-shelf,q054,Horror feminist witch novel,preferences,,,,0.1,0.08333333333333333,0.07839826897867533,
overview-shelf,q055,Horror crime Scotland debut,popular,,,,0.0,0.0,-0.0,
overview-shelf,q055,Horror crime Scotland debut,preferences,,,,0.1,0.08333333333333333,0.07839826897867533,
overview-shelf,q056,Self-Help beginner introspection,popular,,,,0.0,0.0,-0.0,
overview-shelf,q056,Self-Help beginner introspection,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q057,Self-Help advanced ego measurement,popular,,,,0.0,0.0,-0.0,
overview-shelf,q057,Self-Help advanced ego measurement,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q058,Science Fiction young adult dystopia,popular,,,,0.0,0.0,-0.0,
overview-shelf,q058,Science Fiction young adult dystopia,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q059,Science Fiction psychological experiment,popular,,,,0.0,0.0,-0.0,
overview-shelf,q059,Science Fiction psychological experiment,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q060,Romantic second chance music nostalgia,popular,,,,0.0,0.0,-0.0,
overview-shelf,q060,Romantic second chance music nostalgia,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q061,比较 Pride and Prejudice 和 Sense and Sensibility,popular,,,,0.1,0.08333333333333333,0.22009176629808017,
overview-shelf,q061,比较 Pride and Prejudice 和 Sense and Sensibility,preferences,,,,0.1,0.08333333333333333,0.22009176629808017,
overview-shelf,q062,compare The Every and Player Piano,popular,,,,0.0,0.0,-0.0,
overview-shelf,q062,compare The Every and Player Piano,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q063,compare H. G. Wells classic science fiction books,popular,,,,0.0,0.0,-0.0,
