queryId,method,intent,strategy,latencyMs,precisionAt5,recallAt5,mrr,ndcgAt10,relevantCount,error
q001,bm25,exact-title,bm25,33.036,0.200000,0.083333,1.000000,0.220092,12,
q002,bm25,exact-title,bm25,38.674,0.400000,0.166667,1.000000,0.358954,12,
q003,bm25,exact-title,bm25,35.792,0.400000,0.166667,1.000000,0.314880,12,
q004,bm25,exact-title,bm25,32.008,0.400000,0.166667,1.000000,0.314880,12,
q005,bm25,exact-title,bm25,22.182,0.200000,0.083333,1.000000,0.220092,12,
q006,bm25,exact-title,bm25,20.548,0.400000,0.166667,1.000000,0.425208,12,
q007,bm25,exact-title,bm25,25.511,0.200000,0.083333,1.000000,0.220092,12,
q008,bm25,exact-title,bm25,25.692,0.400000,0.166667,1.000000,0.358954,12,
q009,bm25,exact-title,bm25,28.849,0.200000,0.083333,1.000000,0.293456,12,
q010,bm25,exact-title,bm25,22.050,0.200000,0.083333,1.000000,0.220092,12,
q011,bm25,author-work,bm25,41.321,0.800000,0.333333,1.000000,0.725452,12,
q012,bm25,author-work,bm25,36.602,0.400000,0.166667,0.500000,0.322272,12,
q013,bm25,author-work,bm25,40.049,0.200000,0.083333,1.000000,0.220092,12,
q014,bm25,author-work,bm25,41.440,0.400000,0.166667,1.000000,0.314880,12,
q015,bm25,author-work,bm25,30.302,0.600000,0.250000,1.000000,0.795166,12,
q016,bm25,author-work,bm25,27.991,0.200000,0.083333,1.000000,0.220092,12,
q017,bm25,author-work,bm25,44.011,0.200000,0.083333,1.000000,0.283713,12,
q018,bm25,author-work,bm25,22.067,0.200000,0.083333,1.000000,0.434175,12,
q019,bm25,author-work,bm25,45.108,0.200000,0.083333,0.333333,0.110046,12,
q020,bm25,author-work,bm25,36.902,0.400000,0.166667,0.500000,0.384594,12,
q021,bm25,theme-cn,bm25,49.011,0.600000,0.250000,0.500000,0.334051,12,
q022,bm25,theme-cn,bm25,44.632,0.400000,0.166667,0.250000,0.243552,12,
q023,bm25,theme-cn,bm25,88.511,0.000000,0.000000,0.125000,0.069431,12,
q024,bm25,theme-cn,bm25,31.880,0.000000,0.000000,0.166667,0.284814,12,
q025,bm25,theme-cn,bm25,134.382,0.000000,0.000000,0.142857,0.073364,12,
q026,bm25,theme-cn,bm25,52.190,0.200000,0.083333,1.000000,0.220092,12,
q027,bm25,theme-cn,bm25,30.083,0.000000,0.000000,0.000000,-0.000000,12,
q028,bm25,theme-cn,bm25,40.230,0.200000,0.083333,0.333333,0.179477,12,
q029,bm25,theme-cn,bm25,80.323,0.200000,0.083333,0.200000,0.154574,12,
q030,bm25,theme-cn,bm25,32.262,0.600000,0.250000,1.000000,0.527106,12,
q031,bm25,theme-en,bm25,42.132,0.200000,0.083333,1.000000,0.571160,12,
q032,bm25,theme-en,bm25,42.194,0.200000,0.083333,1.000000,0.220092,12,
q033,bm25,theme-en,bm25,36.786,0.400000,0.166667,1.000000,0.710023,12,
q034,bm25,theme-en,bm25,41.137,0.600000,0.250000,1.000000,0.444097,12,
q035,bm25,theme-en,bm25,40.778,0.200000,0.083333,1.000000,0.220092,12,
q036,bm25,theme-en,bm25,45.224,0.800000,0.333333,1.000000,0.787774,12,
q037,bm25,theme-en,bm25,43.830,0.000000,0.000000,0.125000,0.133052,12,
q038,bm25,theme-en,bm25,46.094,0.000000,0.000000,0.000000,-0.000000,12,
q039,bm25,theme-en,bm25,41.988,0.200000,0.083333,1.000000,0.359710,12,
q040,bm25,theme-en,bm25,40.610,0.200000,0.083333,0.250000,0.094788,12,
q041,bm25,natural-cn,bm25,78.845,0.000000,0.000000,0.000000,-0.000000,12,
q042,bm25,natural-cn,bm25,40.168,0.400000,0.166667,0.250000,0.253295,12,
q043,bm25,natural-cn,bm25,42.021,1.000000,0.416667,1.000000,0.727330,12,
q044,bm25,natural-cn,bm25,56.184,0.400000,0.166667,0.500000,0.248908,12,
q045,bm25,natural-cn,bm25,34.742,0.000000,0.000000,0.000000,-0.000000,12,
q046,bm25,natural-cn,bm25,42.097,0.200000,0.083333,0.200000,0.303160,12,
q047,bm25,natural-cn,bm25,74.582,0.200000,0.083333,0.250000,0.168152,12,
q048,bm25,natural-cn,bm25,42.216,0.400000,0.166667,0.250000,0.249363,12,
q049,bm25,natural-cn,bm25,67.455,0.200000,0.083333,0.250000,0.173187,12,
q050,bm25,natural-cn,bm25,38.809,0.000000,0.000000,0.000000,-0.000000,12,
q051,bm25,multi-condition,bm25,42.154,0.800000,0.333333,1.000000,0.661831,12,
q052,bm25,multi-condition,bm25,34.767,0.400000,0.166667,0.500000,0.322272,12,
q053,bm25,multi-condition,bm25,42.809,0.400000,0.166667,0.500000,0.322272,12,
q054,bm25,multi-condition,bm25,30.922,0.000000,0.000000,0.111111,0.129875,12,
q055,bm25,multi-condition,bm25,30.723,0.400000,0.166667,0.250000,0.531000,12,
q056,bm25,multi-condition,bm25,40.588,0.600000,0.250000,1.000000,0.795166,12,
q057,bm25,multi-condition,bm25,38.475,0.600000,0.250000,1.000000,0.583715,12,
q058,bm25,multi-condition,bm25,41.398,0.000000,0.000000,0.166667,0.078398,12,
q059,bm25,multi-condition,bm25,55.717,0.200000,0.083333,0.200000,0.163541,12,
q060,bm25,multi-condition,bm25,46.381,0.200000,0.083333,1.000000,0.571160,12,
q061,bm25,comparison,bm25,52.252,0.600000,0.250000,1.000000,0.469000,12,
q062,bm25,comparison,bm25,33.006,0.400000,0.166667,1.000000,0.358954,12,
q063,bm25,comparison,bm25,47.118,0.400000,0.166667,0.500000,0.391703,12,
q064,bm25,comparison,bm25,52.250,0.400000,0.166667,1.000000,0.422575,12,
q065,bm25,comparison,bm25,24.410,0.000000,0.000000,0.166667,0.218016,12,
q066,bm25,reading-path,bm25,55.924,0.000000,0.000000,0.111111,0.066254,12,
q067,bm25,reading-path,bm25,33.584,1.000000,0.416667,1.000000,0.790951,12,
q068,bm25,reading-path,bm25,87.314,0.000000,0.000000,0.166667,0.144652,12,
q069,bm25,reading-path,bm25,24.936,0.200000,0.083333,0.200000,0.299227,12,
q070,bm25,reading-path,bm25,60.891,0.200000,0.083333,0.333333,0.257875,12,
q071,bm25,metadata-fallback,bm25,156.239,0.400000,1.000000,1.000000,0.919721,2,
q072,bm25,metadata-fallback,bm25,52.161,0.400000,1.000000,1.000000,0.919721,2,
q073,bm25,metadata-fallback,bm25,24.005,0.200000,0.250000,1.000000,0.529436,4,
q074,bm25,metadata-fallback,bm25,42.984,0.800000,0.333333,1.000000,0.563788,12,
q075,bm25,metadata-fallback,bm25,34.803,0.200000,1.000000,1.000000,1.000000,1,
q076,bm25,metadata-fallback,bm25,50.045,0.400000,0.400000,1.000000,0.690261,5,
q077,bm25,metadata-fallback,bm25,51.386,0.200000,0.500000,1.000000,0.613147,2,
q078,bm25,metadata-fallback,bm25,44.821,0.200000,1.000000,1.000000,1.000000,1,
q079,bm25,metadata-fallback,bm25,49.442,0.400000,0.166667,1.000000,0.538411,12,
