queryId,method,intent,strategy,latencyMs,precisionAt5,recallAt5,mrr,ndcgAt10,relevantCount,error
q001,bm25,exact-title,bm25,31.152,0.200000,0.083333,1.000000,0.220092,12,
q002,bm25,exact-title,bm25,33.230,0.400000,0.166667,1.000000,0.358954,12,
q003,bm25,exact-title,bm25,29.559,0.400000,0.166667,1.000000,0.314880,12,
q004,bm25,exact-title,bm25,32.643,0.400000,0.166667,1.000000,0.314880,12,
q005,bm25,exact-title,bm25,21.972,0.200000,0.083333,1.000000,0.220092,12,
q006,bm25,exact-title,bm25,22.284,0.400000,0.166667,1.000000,0.425208,12,
q007,bm25,exact-title,bm25,23.067,0.200000,0.083333,1.000000,0.220092,12,
q008,bm25,exact-title,bm25,22.843,0.400000,0.166667,1.000000,0.358954,12,
q009,bm25,exact-title,bm25,28.636,0.200000,0.083333,1.000000,0.293456,12,
q010,bm25,exact-title,bm25,23.889,0.200000,0.083333,1.000000,0.220092,12,
q011,bm25,author-work,bm25,42.910,0.800000,0.333333,1.000000,0.725452,12,
q012,bm25,author-work,bm25,34.302,0.400000,0.166667,0.500000,0.322272,12,
q013,bm25,author-work,bm25,39.043,0.200000,0.083333,1.000000,0.220092,12,
q014,bm25,author-work,bm25,42.751,0.400000,0.166667,1.000000,0.314880,12,
q015,bm25,author-work,bm25,32.599,0.600000,0.250000,1.000000,0.795166,12,
q016,bm25,author-work,bm25,28.950,0.200000,0.083333,1.000000,0.220092,12,
q017,bm25,author-work,bm25,46.820,0.200000,0.083333,1.000000,0.283713,12,
q018,bm25,author-work,bm25,25.267,0.200000,0.083333,1.000000,0.434175,12,
q019,bm25,author-work,bm25,42.561,0.200000,0.083333,0.333333,0.110046,12,
q020,bm25,author-work,bm25,41.874,0.400000,0.166667,0.500000,0.384594,12,
q021,bm25,theme-cn,bm25,52.394,0.600000,0.250000,0.500000,0.334051,12,
q022,bm25,theme-cn,bm25,44.485,0.400000,0.166667,0.250000,0.243552,12,
q023,bm25,theme-cn,bm25,85.421,0.000000,0.000000,0.125000,0.069431,12,
q024,bm25,theme-cn,bm25,32.219,0.000000,0.000000,0.166667,0.284814,12,
q025,bm25,theme-cn,bm25,133.122,0.000000,0.000000,0.142857,0.073364,12,
