queryId,method,intent,strategy,latencyMs,precisionAt5,recallAt5,mrr,ndcgAt10,relevantCount,error
q001,bm25,exact-title,bm25,328.28580000023067,0.2,0.08333333333333333,1.0,0.22009176629808017,12,
q002,bm25,exact-title,bm25,73.4640999999101,0.4,0.16666666666666666,1.0,0.3589542101716347,12,
q003,bm25,exact-title,bm25,70.87660000024698,0.4,0.16666666666666666,1.0,0.31488013066763093,12,
q001,vector,exact-title,vector-only,348.71609999981956,0.2,0.08333333333333333,1.0,0.28952298823485745,12,
q002,vector,exact-title,vector-only,83.23229999996329,0.4,0.16666666666666666,1.0,0.3589542101716347,12,
q003,vector,exact-title,vector-only,79.25109999996494,0.4,0.16666666666666666,1.0,0.3932783996463063,12,
q001,hybrid,exact-title,hybrid-v2(exact-db+bm25+vector),202.6968999998644,0.2,0.08333333333333333,1.0,0.22009176629808017,12,
q002,hybrid,exact-title,hybrid-v2(exact-db+bm25+vector),147.58759999995164,0.4,0.16666666666666666,1.0,0.3589542101716347,12,
q003,hybrid,exact-title,hybrid-v2(exact-db+bm25+vector),121.18329999975685,0.4,0.16666666666666666,1.0,0.31488013066763093,12,
q001,hybrid_reranker,exact-title,hybrid-v3(exact-db+bm25+vector+reranker),2323.8824000000022,0.2,0.08333333333333333,1.0,0.28371255449703187,12,
q002,hybrid_reranker,exact-title,hybrid-v3(exact-db+bm25+vector+reranker),284.01800000028743,0.4,0.16666666666666666,1.0,0.3589542101716347,12,
q003,hybrid_reranker,exact-title,hybrid-v3(exact-db+bm25+vector+reranker),273.9438000003247,0.2,0.08333333333333333,1.0,0.2934556883974402,12,
